;Punjab;Haryana;Rajasthan;Delhi;UP;Uttarakhand;HP;J&K;Chandigarh;Chhattisgarh;Gujarat;MP;Maharashtra;Goa;DNH;Andhra Pradesh;Telangana;Karnataka;Kerala;Tamil Nadu;Pondy;Bihar;Jharkhand;Odisha;West Bengal;Sikkim;Arunachal Pradesh;Assam;Manipur;Meghalaya;Mizoram;Nagaland;Tripura
09.04.2019;101.6;117.2;222.5;66.1;241.9;37;30.авг;48.2;03.май;92.1;314.6;212;432.9;10.сен;18.май;196.8;215.5;246.3;77.8;335.5;08.янв;63.8;20.июл;75.9;109.3;01.фев;02.мар;19.авг;02.июл;06.июн;01.авг;2;02.авг
10.04.2019;106.8;123.7;231.3;65.4;268;37;29.май;50.5;03.апр;92.3;322.6;222.6;420.9;09.июл;17.июл;192.9;218.9;251.6;77;340.9;08.янв;69.1;21;75.3;115.4;01.апр;02.янв;22.сен;02.май;06.июл;01.авг;02.янв;03.апр
11.04.2019;105.9;111.9;223.6;63;258;36.8;30.апр;48.8;03.апр;92.3;322.6;223.5;431.1;10;17.мар;190.8;214.6;247.3;77.6;334.6;07.авг;70.7;23.мар;86.2;113;01.май;02.янв;23.июн;02.июл;06.авг;01.авг;02.фев;03.июл
12.04.2019;93.1;95;212;60.2;230;31.июл;26.сен;46;02.сен;90;319.7;203.8;419.7;10;18;189.7;218.4;222.6;71.5;312.9;07.апр;71.3;22.сен;86.8;109.4;01.мар;02.янв;22.мар;02.апр;06.апр;01.май;02.янв;03.янв
13.04.2019;249.8;197.7;240.6;123.2;383;40.1;28.июл;48.5;06.фев;85.2;340.6;190.4;436.2;12.апр;18.июн;176.2;151.8;191.5;71.4;329.9;08.апр;109.3;25.мар;91.1;183.4;01.фев;02.апр;33.2;02.июн;05.июн;01.сен;02.апр;05.июл
14.04.2019;250.6;209.8;242.9;126.1;407.9;44.4;29.янв;44.8;06.фев;91.1;334.7;195.1;451;12.апр;18.июл;178.1;156.6;199.2;73.2;347.7;08.авг;113.8;25.июн;92.9;195.2;01.янв;02.мар;32.7;02.май;05.июл;01.май;02.май;05.апр
15.04.2019;274.1;219.4;248.5;135.1;416.9;46.5;30.авг;45.8;06.май;90.5;330.8;192.8;458.8;12.апр;18.сен;179;162.2;198.1;74.2;330.3;08.июн;99.1;24.мар;97.7;181.6;01.фев;02.мар;27.июл;02.апр;05.мар;01.авг;02.май;05.янв
16.04.2019;269.4;219.1;249.5;135.2;435.1;46.7;31.мар;46;06.апр;89.6;340.2;191.7;448.7;12.апр;19.янв;178.2;165.6;198.2;75.9;334;08.май;95.6;21.июн;96.4;182.4;01.мар;02.фев;28.апр;02.июн;05.авг;2;02.мар;06.июн
17.04.2019;282.7;219.7;254.7;133.5;446.8;47.2;31.июл;48.8;06.июл;87.3;331.8;188.4;407.6;12.апр;18.май;185;163.5;195.2;76.1;337.3;08.июн;103.1;25.фев;88.4;175.9;01.мар;02.фев;29.июн;02.июн;05.апр;01.июл;02.фев;05.май
18.04.2019;281.5;224.5;255.7;136.7;452.6;48.6;31.май;44.6;06.авг;89.7;328.2;187.4;388.5;10.сен;17.янв;184.6;147;191.8;77.2;339.7;08.июн;101.1;25.мар;90.4;176.3;01.фев;02.мар;31.янв;02.авг;05.авг;01.июл;02.фев;05.апр
19.04.2019;286;211.8;246.4;136;445.1;44.9;28.май;42.3;06.янв;86.3;319.5;171.4;371.1;10;17.апр;174.3;136.3;170.3;70.3;319.5;08.янв;100.3;25.июл;88.4;162.5;1;02.фев;32.7;02.июл;6;01.июл;02.фев;05.май
20.04.2019;121.8;120.5;242.6;63.9;259.9;34.9;27.май;48.4;03.апр;75.8;356.3;252.2;495.9;10.май;18.июл;195;255.1;242.7;77.6;311.6;07.май;64.5;22.фев;70.3;116.3;01.апр;02.мар;20.июл;02.июн;05.май;01.сен;02.янв;03.июн
21.04.2019;124.8;124.7;244.8;63.6;250;35.3;28.сен;46.6;03.апр;72.2;354.7;249.8;494.2;10.сен;18.июл;197.6;255.2;250.1;79.3;323.8;07.сен;61.2;21;71.7;113.5;01.июн;2;22.июл;02.май;6;01.сен;02.фев;03.май
22.04.2019;124.9;124.8;245.1;63.8;257.7;35.6;29.фев;48.3;03.май;77.2;347.2;250.4;491.4;10.авг;18.сен;201.2;253.3;249.6;79.7;325.6;8;63.8;22.янв;70;115.4;01.июл;02.фев;19.фев;02.май;05.сен;01.июл;02.мар;03.мар
23.04.2019;121.8;123;245.7;62.5;250.6;36;29.янв;48.8;03.май;79.2;344.5;250.6;493.4;10.сен;19.янв;199;249.7;252;80.6;328.3;07.сен;69;22.мар;67.5;119.7;01.май;02.янв;21;02.июн;05.июл;01.июн;02.фев;03.апр
24.04.2019;113;123;246.2;63.8;274.9;36;28.авг;49;03.май;81.9;362;252.9;492.9;11.янв;18.май;200.7;254;253.3;80.5;329.1;07.авг;69.8;23.авг;69.5;119.9;01.июн;02.янв;22.июл;02.июн;05.авг;01.июл;02.фев;03.май
25.04.2019;96.9;108;236;60.3;247.3;34.9;27.сен;42.7;03.май;83.7;361.6;248.3;484.8;11.июн;19.апр;200.8;255.9;248;79.2;326.4;07.авг;68.2;24.янв;69.2;120.5;01.июн;02.янв;23.янв;02.июл;05.сен;01.июн;02.фев;03.апр
26.04.2019;97.8;94.5;230.1;57.9;215.8;31.мар;25;46.3;03.апр;85.1;346.4;222.4;456.8;11.июн;17;194;247.7;224.3;71.9;302.8;07.янв;70.8;23.сен;67.4;111.1;01.мар;02.янв;21.янв;02.июн;05.май;01.июл;02.янв;03.апр
27.04.2019;112.8;125.5;232.5;74.2;280.7;38.8;30;50.8;04.апр;78;326.4;246.6;447.6;12.сен;18.сен;166.1;218.6;203.7;71.9;277.7;06.авг;72.2;25.сен;65.7;106.8;01.сен;02.апр;22.авг;02.май;6;01.сен;02.янв;03.мар
28.04.2019;118.6;131.1;232.8;76.9;276.6;39.1;30.апр;51.4;04.май;78.2;329.8;239.7;456.7;13.янв;19;167.7;223.4;209;72.5;285.9;06.июл;71.6;24.янв;66.9;111.8;2;02.фев;21.июл;02.июл;6;01.авг;02.фев;03.май
29.04.2019;121.2;132.1;235.6;76.9;277.3;40;30;52.5;04.май;78.6;325.4;237.4;447.8;10.сен;19;164.5;225.7;204.1;66.9;261.1;06.апр;75.4;25.янв;65.6;110.3;2;02.фев;22.май;02.июл;06.апр;01.авг;02.фев;03.июл
30.04.2019;123.3;134.5;232.7;79.2;293.2;42.2;30.июн;52.4;04.сен;74.5;324.4;242.8;427.8;13.янв;18.сен;168.2;222.7;207.2;72.7;272.4;06.авг;75.2;24;65.3;109.6;02.фев;02.фев;22.апр;02.июн;06.мар;01.сен;02.мар;03.авг
02.05.2019;120.9;133.6;235;82;304.8;41.4;30.апр;52.5;04.сен;75.3;320.9;245.1;428.5;13.май;18.июл;172.6;225.7;211.6;74.4;271.4;06.авг;77.7;25.янв;66.2;107;02.янв;02.мар;22.авг;02.июл;06.фев;01.июл;02.мар;03.мар
03.05.2019;122.1;133;234.6;80.4;297;41.5;30;53.4;04.июл;75.8;317.6;246.2;425.5;13.апр;18.июл;170.1;208.3;208.1;73.6;276.3;06.июл;76.1;24.май;70.3;111.1;02.янв;02.фев;22.апр;02.июн;06.апр;01.июл;02.мар;03.май
04.05.2019;113.8;124.6;231;78;308;39.1;27.май;52.7;04.апр;77.2;306.7;246.9;415.3;13.мар;18.апр;163;204.8;193.3;66.5;259.2;06.фев;80.2;25.фев;71.6;100.7;01.сен;02.янв;21.апр;02.апр;06.фев;01.июл;02.янв;03.апр
05.05.2019;213.9;179.6;225.8;98.5;326.9;38.3;29.фев;41;5;103.5;317.2;164;409.6;11;18.апр;158.1;179.5;177.3;71.4;280.4;07.июн;98.1;26.июн;89.7;166.7;1;2;27.фев;02.май;05.авг;01.июн;2;04.июл
06.05.2019;220.3;186.1;228.5;99.3;328.4;39.7;29.авг;39.8;05.мар;98.6;320.5;163.5;403;11;18.июн;153.1;169.4;158.3;70.2;282.4;07.май;98.1;24.янв;95;153.1;0.9;2;24.июл;02.мар;05.июл;01.июн;2;04.фев
07.05.2019;222.9;185.6;225;102.4;335.1;40.4;30.июл;39.8;05.мар;86.6;312.7;166.5;391.5;12.фев;18.май;153.9;153.7;159.2;68.8;282.3;07.мар;89;22.апр;89.4;139.1;1;02.янв;25.июл;02.мар;06.янв;01.июн;2;04.мар
08.05.2019;219.3;184.2;226.6;102.6;301.8;39.9;29.апр;41.3;05.фев;84.2;306.6;162.9;385.4;11.сен;18.май;147.7;154.1;154.8;68.1;280.9;07.апр;69.5;21.авг;87.6;142.8;1;01.апр;28.авг;02.апр;06.апр;01.июн;02.янв;04.май
09.05.2019;197.7;179.5;222;100.9;276.3;38.8;28.июл;39.5;04.июл;81.3;289.4;162.4;379.7;11.сен;18.апр;149.7;148.7;164.7;70.2;293.5;07.июл;70.4;22.янв;84.1;140.9;1;01.сен;29.июн;02.мар;06.янв;01.июл;02.янв;04.апр
10.05.2019;165.1;169.3;210.8;94.6;261.3;36.5;27.мар;30.янв;04.мар;80.8;279.2;152.4;385.6;11.сен;18.апр;154.2;160.2;163;71.3;291.6;07.авг;53;20.янв;83.2;133.4;01.фев;02.мар;29.апр;02.апр;06.янв;01.апр;02.фев;04.июл
11.05.2019;122.6;143;197.9;84.7;244.4;33;24.май;34.5;03.апр;76.2;257.9;154.1;380.7;11.мар;18.янв;160;166.3;156;65.1;274.7;07.мар;43.5;19;78.9;122.6;01.фев;02.фев;26.май;02.фев;06.янв;01.июн;02.апр;04.янв
12.05.2019;245.9;194.3;242.2;116.6;422.1;42.9;30.июл;42.4;06.мар;110.2;342.2;219;441.2;11.апр;18.сен;165.3;184.1;171.9;60;297.9;07.июл;104.2;27.янв;98.7;194.3;01.мар;02.фев;29.май;02.июн;05.авг;01.сен;02.фев;05.июн
13.05.2019;253.7;211.3;251.4;129;428.8;43.3;30.апр;42.8;06.авг;111.6;355.4;229.2;451.4;11;19.фев;168.2;191.1;164.5;60.7;299;07.авг;97.4;24.авг;102.5;192.2;01.фев;02.мар;27.авг;02.май;05.апр;01.сен;2;04.авг
14.05.2019;264.8;208.1;256.8;130.4;406.8;45.4;32;42.9;06.апр;106.5;354.3;220.4;446;11.мар;19.янв;175.2;198.7;172.9;62.7;312.3;08.май;88.2;22.май;97.4;180.5;01.фев;02.апр;29.фев;02.май;05.апр;02.янв;02.фев;04.сен
15.05.2019;229.6;183.2;219.3;115.2;372.2;40.7;29.май;37;6;100.1;346.8;197.9;423.8;11.мар;19;174.1;199;163.7;65.7;312.5;08.май;90.6;22.июл;86.9;174.5;0.9;02.мар;31.июл;02.июн;05.июн;01.сен;02.мар;04.июл
16.05.2019;220.4;177.2;218.3;109.3;357.5;39.5;29.май;42.5;05.май;96.7;338.8;185.2;400.5;11.мар;19;158.7;174.1;174.8;65.6;300.7;08.апр;97.1;23.фев;86.2;172.5;0.9;02.мар;31.4;02.июн;05.июн;01.июл;02.фев;5
17.05.2019;206.3;157.8;198.7;100.7;359.1;38.3;28.сен;40.5;04.сен;91.7;334.6;183.2;374;11.мар;18.июл;154.9;167.8;165.4;66.3;305.3;8;91.9;22.фев;87.9;166;0.8;02.мар;30.май;02.апр;05.июл;01.июн;02.мар;04.июн
18.05.2019;210.9;153.9;159.3;98.9;364.1;37.4;26.мар;37.3;04.сен;93.7;314.9;175.8;364.8;11.мар;18.июл;151;161.1;160.8;62.2;284.4;07.апр;91.4;21.авг;89;151.3;0.5;02.мар;30.сен;02.июн;05.май;01.июн;02.мар;04.авг
19.05.2019;122.1;128.2;205.5;91.9;342.3;38.3;25.апр;44.2;04.янв;99.9;381.2;206.1;495;13.авг;18.июл;177.6;161.6;235.4;79.3;324.7;08.сен;93.5;23.апр;79.9;151.5;01.фев;01.сен;23.авг;02.июн;5;01.июн;02.янв;04.мар
20.05.2019;129;138.6;216.8;99.3;362;39.5;26;43;04.апр;100.5;359.9;212;494.5;13.авг;16.фев;178.2;164.1;230.6;68.5;323.2;9;89.4;24.янв;90.8;160.4;01.мар;02.фев;25.авг;02.июн;05.май;01.июл;02.фев;05.мар
21.05.2019;108.6;141.7;221.1;106.7;380.7;41.2;24.авг;33.7;04.июн;102.6;379.2;216.4;500.6;13.авг;18.янв;186.1;171.1;233.1;77.4;337.7;08.сен;98.1;25.янв;92;170;01.апр;02.янв;27.янв;02.июн;05.апр;01.авг;2;05.июн
22.05.2019;126.4;144.5;226.7;111.4;387.1;40.5;25.апр;41.7;04.авг;103.9;387.3;219.3;513.1;13.май;19;189.3;176;241.9;78.4;342.2;09.янв;99.8;26.май;95.4;181.2;01.апр;02.фев;28.сен;02.авг;5;01.авг;02.янв;05.апр
23.05.2019;132.7;146.7;226.5;109.7;387.1;41.2;27.май;42.6;04.авг;105.5;392.9;221;511.8;13.май;18.апр;193.3;176.9;236.5;84.3;352.2;09.янв;99.6;27.апр;96.5;178.9;01.фев;02.мар;27;02.июл;05.мар;01.сен;02.янв;05.янв
24.05.2019;133.3;143.3;228.3;103.2;364;40.9;28.янв;46.3;04.май;104;389.6;221;513.3;13.май;18.фев;193.3;176.9;236.5;84.3;352.2;09.янв;99.6;27.апр;96.5;178.9;01.фев;02.мар;27;02.июл;05.мар;01.сен;02.янв;05.янв
25.05.2019;126.3;132.9;224.7;98.7;358.7;38.7;25.июл;44.2;04.янв;104.1;375.4;217.3;504.1;13.май;18.мар;189;171.1;219.1;79.3;325.7;08.мар;94.2;26.май;94.6;177.7;1;02.янв;22;01.сен;05.мар;01.авг;02.фев;04.май
26.05.2019;86.3;93;178.7;46.1;240.8;22.май;13;45.6;02.апр;81.6;282.4;182.1;395.6;07.апр;13.май;176.7;219.7;226.4;69.9;276.5;06.янв;68.2;21.май;66.5;100.4;1;02.янв;19;02.апр;05.июн;01.июн;02.фев;03.янв
27.05.2019;74.7;92;171.9;48.7;247.4;21.июл;20.май;44.7;02.апр;86.4;291;183.4;403.6;06.сен;15;181.4;224.9;238.3;75.3;302.6;7;63;23.фев;69.1;114.7;01.апр;01.сен;21.май;02.июл;05.авг;01.авг;02.янв;03.май
28.05.2019;69.6;85.9;171.4;46;241.6;19.май;15.июн;42.8;02.мар;80.8;263;178.9;394.4;07.фев;12.сен;175.4;210.7;231.2;69.9;290.7;5;69.9;23.сен;74.7;106.4;01.май;2;21.мар;02.июн;05.мар;01.июл;2;03.июн
29.05.2019;63.1;76.7;161.2;46.1;239.9;18.фев;12.авг;44.6;02.мар;75.2;238.2;160;357.9;06.фев;03.фев;162.1;207.4;214.9;66.7;256.3;04.фев;72.7;24.фев;79.1;107.8;01.апр;02.янв;19.май;02.мар;5;01.май;02.янв;03.май
30.05.2019;66.9;74.7;127.9;44.1;238.9;18;12;43.2;02.мар;73.4;207.5;150.3;328;06.сен;02.фев;159.7;202.5;213.6;65.7;245.9;04.янв;73.3;23.фев;82.7;111.8;01.мар;2;19.янв;02.май;04.июл;01.июн;02.янв;03.фев
31.05.2019;57.6;65.9;105.8;44.4;217.3;17;12.сен;42.9;02.апр;77;192.3;131.8;348.2;7;2;160.4;202.7;217.4;66.6;244.7;04.янв;76.3;23.июл;80.7;117;01.мар;2;20.июн;02.май;04.мар;01.авг;02.янв;03.янв
02.06.2019;56.1;64.8;123.5;42.4;219.4;16.сен;12.июн;40.9;02.фев;73.6;201.7;142.8;351;06.авг;01.июл;161;208.6;214.6;67.5;244.5;04.янв;67.3;23;82.8;125.2;01.мар;01.сен;21;02.апр;03.июл;01.май;2;03.июн
03.06.2019;113.4;125.5;203.1;78.4;296.7;35.1;26.июн;41.8;03.июл;74.1;351.2;171;357.7;10.авг;18.фев;152.5;143.2;146;63.3;253.7;7;84.4;22.апр;83.8;158.2;0.9;2;26.фев;02.апр;05.июн;01.июл;02.янв;5
04.06.2019;119.7;132.4;202.6;75.9;290.5;34.7;27.фев;42.6;03.апр;76.7;347.8;169.7;383.7;10.авг;17.янв;146.7;146.8;146.2;65.9;257.5;07.фев;82.6;23.сен;85.8;159.6;01.янв;2;26.сен;02.май;05.сен;01.июл;02.фев;04.июл
05.06.2019;124.5;137;200.6;74.2;286.8;34.8;27.авг;42.3;03.июл;75.7;337.8;164.3;387.9;11.май;18.мар;144.4;146.2;147.4;65.6;262;07.мар;80.2;23.июн;79.8;149.6;01.янв;02.фев;26.июл;02.июл;05.сен;01.июл;02.янв;03.авг
06.06.2019;125.7;137.9;202.3;75.9;286.7;35.9;27.апр;43.5;03.июл;72.8;327.4;164.9;383.7;10.май;18.июн;146.6;145.2;147.2;65.1;259.4;07.янв;74.1;20;70.8;124.8;01.фев;2;24.июн;02.май;06.янв;01.июл;02.янв;04.янв
07.06.2019;122;134.7;204.3;76;302.9;36;27.июн;43.2;03.июл;73.9;312.7;171.3;363.2;10.май;18.фев;151.4;149.4;141.8;64.9;266;07.июл;70.3;19.сен;70.5;110.6;01.фев;02.янв;22.мар;02.май;05.июл;01.июл;02.янв;03.сен
08.06.2019;117;124.8;197;69.1;287.8;32.7;25.фев;42.6;03.апр;73.5;279;170.3;347.4;10.май;17.фев;149.8;149.4;140.1;62.4;241.5;7;71.1;22.сен;73.9;116.3;1;02.янв;20.мар;02.май;05.май;01.авг;02.янв;03.июл
09.06.2019;90.7;104.3;185.3;60.8;290;26.янв;17;43.1;02.сен;68.5;233.3;162.8;313.9;08.сен;12;146.1;141.9;132.6;57.2;195.7;05.мар;77.9;24.май;76.1;113.9;0.8;02.фев;22.июл;02.май;05.июн;01.июл;02.апр;04.янв
10.06.2019;102.8;115.2;225.2;67.9;259.4;35;29;43.1;03.июл;80.8;333.9;243.7;412.4;12;17.сен;165.2;181.9;211.9;62.7;278.2;06.сен;75.3;22.авг;67.6;120.6;01.мар;02.фев;23.фев;02.сен;06.фев;01.авг;02.янв;03.сен
11.06.2019;92.4;97.9;208.1;67.7;231.2;28.июн;27.июл;41.1;03.авг;79.9;329.3;238.3;417.1;12;18.янв;166.6;184.4;216.2;63.9;281.6;7;75.8;24.май;81.9;124.5;01.июл;02.янв;23.май;02.июн;06.фев;01.сен;02.янв;03.авг
12.06.2019;105.3;118.9;227;70.8;242.7;37.3;29.мар;45.3;03.авг;82.7;327.6;241.9;417.4;12;18.фев;167.5;185.8;216;65.1;289.8;7;68.7;24.май;81.8;125.7;01.апр;02.янв;23.мар;02.авг;05.сен;01.сен;02.фев;03.сен
13.06.2019;104;118.3;224.8;70.4;259.8;38.2;29.авг;45.4;03.авг;80.8;327.4;235.6;413.3;12;18.фев;169.7;184;218.7;66.6;294.9;07.янв;63.7;24.июн;73.5;127.2;01.мар;02.апр;23.май;02.сен;6;01.сен;02.фев;03.июл
14.06.2019;105.3;113.7;219.2;72.5;246.2;38.9;29.сен;53;03.авг;79.2;322.5;218.1;397.6;12;18.янв;169.7;176.9;219.4;68.3;298.9;07.фев;71.2;22.июл;75.4;124.9;01.апр;02.мар;23.авг;02.авг;06.мар;01.сен;02.янв;03.авг
15.06.2019;95.3;107.2;221.5;58.6;239;33.4;25.май;51.6;03.мар;64.5;297.7;214.8;351.6;11.май;14.сен;168.6;157.7;202.8;64.6;283.2;06.апр;69;23.май;84.1;114.8;01.фев;02.фев;22.июн;02.июн;06.мар;2;02.фев;03.апр
16.06.2019;97.9;103.7;221.8;63.7;249.1;35.6;26.сен;48.9;03.мар;69.2;300.2;222;361.6;09.авг;16.фев;162.7;140.1;197.3;61.2;272.9;06.май;69.8;22.мар;82.2;112.4;01.янв;02.фев;22.май;02.сен;05.сен;2;02.фев;03.янв
17.06.2019;146.2;158;226.8;102.8;412.7;44;27.сен;41.8;05.янв;92.2;382.1;219.1;507;11.авг;17.июл;193.1;172.2;225.8;85.2;348.9;08.авг;106.2;28.апр;93.9;184.1;01.янв;2;26;02.мар;05.фев;01.авг;02.янв;04.апр
18.06.2019;158.9;167.3;230.7;110.8;413.5;45.1;29.фев;48.3;05.мар;92.3;387.9;222.8;513.6;12.апр;18.фев;201.7;173;221.7;86.8;359.7;09.янв;107.3;28.июл;85;193.3;01.янв;02.янв;27.июн;02.июн;05.фев;01.авг;02.янв;05.янв
19.06.2019;169.5;171.5;233.6;114;428.3;35.8;13.янв;48.1;05.май;88.9;384.3;225.1;513.9;12.апр;18;202.5;171.3;219.4;87.7;364;08.авг;105.8;27.май;81.5;192;1;02.фев;27.янв;02.июн;05.фев;01.сен;02.мар;05.фев
20.06.2019;161.7;164.4;240.3;114.5;442;47.2;29.апр;48.7;05.фев;92.3;391.1;227.8;522.1;12.апр;18.янв;202.5;175.1;218.9;89.4;365.3;09.мар;96.5;25.фев;94.3;172.7;01.янв;02.янв;25.май;02.апр;05.фев;01.авг;02.фев;04.июл
21.06.2019;139.4;147.7;234;105.5;398.2;45.1;28.авг;43.5;04.сен;93.5;388.3;223.8;505.3;12.апр;17.сен;199.9;172.5;205.3;82.8;355.5;08.май;104.7;26;92;184.2;01.янв;02.фев;24.июл;02.фев;05.апр;01.май;02.апр;03.июн
22.06.2019;142.4;156;238.8;109.2;406.1;44.6;29.янв;44.6;04.июн;92.1;384.8;223.5;503.3;12.апр;17.сен;201;172.6;194.1;81.2;351.6;9;102.3;26;91;155.6;01.фев;02.мар;25;02.мар;05.янв;01.июн;02.апр;03.июн
23.06.2019;150.2;151;239.8;99.9;414.7;41.9;26.июн;46.4;04.мар;92.8;372;219.1;487.5;12.апр;17.июл;199.1;171.1;176;77.8;328.3;08.май;101;26.фев;90.7;154.9;01.янв;02.фев;25.авг;02.май;05.мар;01.июл;02.фев;05.фев
24.06.2019;105.1;126.4;234.2;77.7;281.2;40;32.2;51;04.май;78.7;324.8;235.9;445.9;09.сен;18.мар;177.3;211.8;233.6;73.3;283;06.сен;78.2;25.мар;69;112.2;01.авг;02.апр;21.май;02.авг;06.май;01.сен;02.мар;03.май
25.06.2019;106.5;129.6;240.4;75.9;283.7;41;32.8;51.3;04.мар;79.8;327.1;243.1;457.6;10.янв;18.июн;180.6;216.6;233.8;75.7;294;06.сен;79;26.фев;68.4;122.3;01.сен;02.янв;22.сен;02.апр;06.май;01.июн;02.янв;03.май
26.06.2019;111.2;130.3;238.7;76.6;283.2;39.6;31.мар;49.8;04.фев;77.1;329.1;242.1;460.2;10.мар;18.авг;182.4;216.3;234.8;74.9;297.4;7;81.6;25.сен;70.3;118.8;01.сен;02.янв;24.янв;02.мар;06.июн;01.июн;02.янв;04.май
27.06.2019;111;129.6;238.6;75;270.6;39.3;31.6;50.6;04.фев;80.8;337.6;242.8;464.3;10.апр;18.май;184.3;218.9;233.2;76;302.3;07.янв;79.4;25.июн;71;118.3;02.янв;02.мар;22.авг;02.июл;06.май;01.сен;02.май;03.апр
28.06.2019;112.9;131.6;237.6;76;283.9;39.9;32.1;50.3;04.фев;82.2;341.5;250.7;466;10.янв;19;182.8;217.2;233.6;76.3;300.3;07.май;79.7;26;69.5;121.4;02.июл;02.мар;23.янв;02.июл;06.июн;01.сен;02.май;03.май
29.06.2019;114.3;130.9;245.5;71.4;284.6;39.9;30.янв;50.9;04.янв;83.7;339.1;255.7;464.7;10;18.июл;183;213.6;228.6;74;299.5;07.мар;78.7;26.апр;70.4;119.1;02.авг;02.янв;23.фев;02.июл;06.июл;2;02.мар;03.апр
30.06.2019;99.3;116.7;231;60.3;282.3;33.5;26.июн;49.9;04.янв;80;312.7;254.5;424.1;08.июл;14.сен;178.7;208;214.7;65.3;270.3;06.мар;82.8;26.июн;70.1;107.5;02.янв;02.мар;22.фев;02.авг;06.май;01.сен;02.мар;03.мар
01.07.2019;163.9;157.5;180.9;103.8;379.4;33.9;24.фев;34.8;04.авг;94.5;300.2;172.3;424.5;11.июл;18.сен;164.3;217.8;158.5;65.6;282;07.май;104.7;22.янв;89.8;151.8;0.9;02.мар;34.2;02.апр;05.фев;01.июн;02.апр;04.сен
02.07.2019;192.4;176.4;196.9;110.9;388;40.3;25.июл;41;05.янв;94;307.4;172.8;433.7;11.авг;18.сен;161.9;217.9;160.1;67.4;281.3;07.апр;110.7;24.фев;96.4;166.7;1;02.фев;36;02.июн;05.июл;01.июл;02.апр;5
03.07.2019;209.5;187.7;215.6;117.8;379.5;41.4;26.июл;41.2;05.май;94.2;312.7;174;431.6;11.сен;18.апр;159.9;217.8;169;67.2;283.3;07.июл;111.8;26.фев;107;180;1;02.апр;38;02.май;05.апр;01.июн;02.май;05.мар
04.07.2019;221.9;189.8;222;115.7;372.6;40.7;27.май;41.8;05.июл;96.9;313.2;173.9;426.7;11.сен;19;160.9;204.2;168.4;65.7;279.8;07.апр;114.5;25.авг;99.8;184.4;0.8;02.июн;37.2;02.сен;05.апр;01.авг;02.июн;05.мар
05.07.2019;239.1;200.7;231.7;117;400.1;42.9;29.июл;41.6;05.июн;97.5;313.4;181;426.8;11.сен;18.сен;164.7;193.4;168;63.9;284.2;07.май;110.8;24.авг;95.2;168.6;0.7;02.июн;33.2;02.янв;05.май;01.авг;02.июл;05.янв
06.07.2019;245.6;195.7;237.9;110.1;368.5;40.8;28.июл;42.5;05.янв;95;287.5;174.5;424;11.мар;18.июл;165.4;210.6;160;64.6;284.2;07.сен;100.7;24.июл;94;161.6;0.8;02.апр;34.8;02.май;05.май;01.сен;02.май;04.апр
07.07.2019;239.4;175.1;229.1;102.1;341.6;37.1;25.июн;39.5;04.мар;90.8;290.3;165.6;414.1;10.фев;18.апр;166.8;212.1;155.9;58.4;261.3;07.апр;103.1;23;87.8;151.5;0.6;02.янв;35.1;02.апр;05.апр;01.авг;02.апр;04.июн
08.07.2019;77.9;86.6;171.8;57.8;280.3;21.июн;12.янв;46.6;02.май;76.5;261.3;179.6;380.5;07.авг;02.июл;168.7;143.8;196.4;69.6;253.7;05.апр;80.8;24.апр;69.7;118.8;1;01.апр;15.авг;02.май;4;01.апр;2;03.мар
08.07.2019;75.3;86.1;154.1;59.9;268.3;22.янв;13.сен;45.5;02.июн;77.9;265.8;182.2;388.6;08.фев;02.сен;170.6;145.1;207.4;71.7;255.6;05.июл;70.2;22.июн;78.2;118.4;01.мар;01.апр;15.май;02.мар;03.июл;01.май;02.янв;03.апр
09.07.2019;68.5;84.4;163;56.8;260.2;22.июн;13.сен;40.4;02.апр;70.6;268;185.8;399.1;08.фев;3;169.3;142.9;207.2;71.3;255;05.июн;64;18.авг;64.7;82.4;01.мар;01.янв;14.авг;02.янв;03.авг;01.апр;01.апр;03.май
09.07.2019;81.2;89.7;171;58.6;283;23.янв;14.апр;45.9;02.июн;75.1;275.8;189.3;405.7;08.июн;03.фев;170.1;142.4;207.9;70.7;260.5;05.авг;72.8;20.июн;63.6;95.1;01.апр;01.апр;14.мар;02.мар;4;01.апр;2;03.мар
10.07.2019;83.7;92.4;167.2;59.9;284.4;23.мар;14.фев;43.9;02.июл;75.2;278.9;186.2;410.2;08.сен;03.мар;170.5;144.9;205.5;70.6;261.7;05.июл;75.3;19;67.3;99.8;01.май;01.мар;16.авг;02.янв;04.янв;01.апр;01.авг;02.сен
10.07.2019;91;94.2;170.6;59.5;293.6;22.авг;14.янв;44.6;02.авг;74.5;280.6;187.9;412.7;09.фев;03.апр;169.4;146;193.5;69.9;260.8;05.авг;71.8;21.янв;56.5;93.3;01.май;01.апр;16.май;02.фев;04.янв;01.апр;01.авг;02.сен
11.07.2019;91.6;96.6;168;62.2;296.3;23.сен;14.июн;42.4;02.авг;72.5;275.4;183.3;404.4;09.май;03.авг;159.1;140.9;198.2;70.3;259;05.июн;73.6;22.мар;55;97.8;01.апр;01.мар;17;02.янв;04.мар;01.апр;01.авг;02.сен
11.07.2019;100.8;111.4;208.2;61.5;264.6;33.2;27.мар;42.5;03.мар;70.8;316.8;232;421.9;12;18.янв;175.1;191.5;180.4;72.1;282.8;07.фев;68.6;23.авг;66.7;110.8;01.мар;02.янв;22.июн;02.май;05.сен;01.июл;02.мар;03.май
